Date;Discipline;Venue;Race (R) or Training (TR);Gate;Gate-Gate Distance (m);Turning Angle [°];Offset [m];Steepness [°];Slope change [°];Vertical Distance [m];Altitude (m);Latitude (°);Longitude (°);Gender;Run;Country;Course name;Course setter;Gates (#);Turning Gates (#);Start Altitude (m);Finish Altitude (m);Vertical Drop (m);Start time;Weather;Snow;Temp Start (°C);Temp Finish (°C);Nation;Best;Is Fastest?;ID;total time (sec);Time (ms)
2024-01-07;SL;Adelboden;R;1.0;8.8;12.04;0.84;-25.03;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.88
2024-01-07;SL;Adelboden;R;1.0;8.8;12.04;0.84;-25.03;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.9
2024-01-07;SL;Adelboden;R;2.0;9.17;34.34;2.6;-23.35;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.98
2024-01-07;SL;Adelboden;R;2.0;9.17;34.34;2.6;-23.35;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.9
2024-01-07;SL;Adelboden;R;3.0;10.2;41.45;3.3;-21.42;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.76
2024-01-07;SL;Adelboden;R;3.0;10.2;41.45;3.3;-21.42;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.82
2024-01-07;SL;Adelboden;R;4.0;10.15;43.45;3.43;-22.1;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.88
2024-01-07;SL;Adelboden;R;4.0;10.15;43.45;3.43;-22.1;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.92
2024-01-07;SL;Adelboden;R;5.0;9.82;24.72;1.57;-18.05;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.44
2024-01-07;SL;Adelboden;R;5.0;9.82;24.72;1.57;-18.05;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.5
2024-01-07;SL;Adelboden;R;6.0;6.61;22.78;1.47;-21.7;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.88
2024-01-07;SL;Adelboden;R;6.0;6.61;22.78;1.47;-21.7;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.92
2024-01-07;SL;Adelboden;R;7.0;10.12;38.81;3.14;-17.91;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.82
2024-01-07;SL;Adelboden;R;7.0;10.12;38.81;3.14;-17.91;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.82
2024-01-07;SL;Adelboden;R;8.0;10.24;36.75;2.98;-22.21;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.84
2024-01-07;SL;Adelboden;R;8.0;10.24;36.75;2.98;-22.21;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.86
2024-01-07;SL;Adelboden;R;9.0;9.91;44.9;3.58;-14.48;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.86
2024-01-07;SL;Adelboden;R;9.0;9.91;44.9;3.58;-14.48;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.88
2024-01-07;SL;Adelboden;R;10.0;9.86;42.98;3.44;-20.06;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.9
2024-01-07;SL;Adelboden;R;10.0;9.86;42.98;3.44;-20.06;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.88
2024-01-07;SL;Adelboden;R;11.0;10.15;42.61;3.53;-17.96;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.86
2024-01-07;SL;Adelboden;R;11.0;10.15;42.61;3.53;-17.96;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.82
2024-01-07;SL;Adelboden;R;12.0;10.39;23.76;1.55;-17.77;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.46
2024-01-07;SL;Adelboden;R;12.0;10.39;23.76;1.55;-17.77;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.48
