Date;Venue;Country;Course name;Course setter;Gates (#);Turning Gates (#);Start Altitude (m);Finish Altitude (m);Vertical Drop (m);Start time;Weather;Snow;Temp Start (°C);Temp Finish (°C);Run;Nation;Best;Is Fastest?;ID;total time (sec);Gate 01 (ms);Gate 02;Gate 03;Gate 04;Gate 05;Gate 06;Gate 07;Gate 08;Gate 09;Gate 10;Gate 11;Gate 12;Gate 13;Gate 14;Gate 15;Gate 16;Gate 17;Gate 18;Gate 19;Gate 20;Gate 21;Gate 22;Gate 23;Gate 24;Gate 25;Gate 26;Gate 27;Gate 28;Gate 29;Gate 30;Gate 31;Gate 32;Gate 33;Gate 34;Gate 35;Gate 36;Gate 37;Gate 38;Gate 39;Gate 40;Gate 41;Gate 42;Gate 43;Gate 44;Gate 45;Gate 46;Gate 47;Gate 48;Gate 49;Gate 50;Gate 51;Gate 52;Gate 53;Gate 54;Gate 55;Gate 56;Gate 57;Gate 58;Gate 59;Gate 60;Gate 61;Gate 62;Gate 63;Gate 64;Gate 65;Gate 66;Gate 67;Gate 68
07,01,2024;Adelboden;Switzerland;Chuenisbaergli;BRUNNER Bernd;63;62;1513;1302;211;13:30;MOSTLY CLOUDY;COMPACT;-4;-2;2;SUI;MEILLARD Loic;no;07,01,2024Adelboden2SUI;55.06;0.96;1.06;0.94;0.96;1;0.52;0.96;1.06;0.78;0.78;1.04;1.06;0.96;0.9;0.92;0.96;0.98;0.5;0.94;0.92;0.96;0.4;0.4;0.7;0.74;0.74;0.8;0.68;0.8;0.9;0.86;1;0.96;0.98;0.82;1.6;0.94;1.04;0.54;1.28;1.18;1.1;0.98;0.96;0.94;1.04;0.82;1;1.02;0.92;0.5;1.06;0.96;1.02;0.82;0.74;0.4;0.48;0.84;0.66;0.58;;;;;;;
07,01,2024;Adelboden;Switzerland;Chuenisbaergli;BRUNNER Bernd;63;62;1513;1302;211;13:30;MOSTLY CLOUDY;COMPACT;-4;-2;2;AUT;RASCHNER Dominik;yes;07,01,2024Adelboden2AUT;54.88;0.96;1.08;0.96;0.98;0.86;0.54;1;1.04;0.8;0.82;1.02;1.04;0.92;0.86;0.92;1;0.92;0.38;0.94;0.9;0.92;0.4;0.4;0.72;0.72;0.74;0.8;0.68;0.8;0.9;0.98;1.04;1.02;1.02;0.84;1.6;0.94;1.02;0.58;1.26;1.14;1.18;1.08;0.9;0.86;1.02;0.86;0.92;0.86;0.86;0.48;1.04;1.02;1.04;0.88;0.76;0.4;0.5;0.86;0.68;0.58;;;;;;;
07,01,2024;Adelboden;Switzerland;Chuenisbaergli;FUESS Robert;69;67;1513;1302;211;10:30;MOSTLY CLOUDY;COMPACT;-5;-3;1;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.88;0.98;0.76;0.88;0.44;0.88;0.82;0.84;0.86;0.9;0.86;0.46;0.92;0.9;0.88;1;1.02;1;1;0.96;0.54;1.02;0.76;0.86;1.08;0.76;0.7;0.4;0.44;0.76;0.72;0.72;0.74;0.82;0.92;0.8;0.42;0.94;0.94;0.88;1.54;0.98;1;0.52;1.16;1.14;1.16;1.02;0.9;0.92;0.86;0.48;0.88;0.86;0.9;0.64;0.8;1.02;0.9;0.46;0.8;0.76;0.72;0.78;0.7;0.66;;
07,01,2024;Adelboden;Switzerland;Chuenisbaergli;FUESS Robert;69;67;1513;1302;211;10:30;MOSTLY CLOUDY;COMPACT;-5;-3;1;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.9;0.9;0.82;0.92;0.5;0.92;0.82;0.86;0.88;0.88;0.82;0.48;0.94;0.9;0.84;0.92;1.06;0.98;0.98;0.92;0.52;1;0.8;0.8;1.02;0.72;0.72;0.42;0.46;0.72;0.78;0.7;0.74;0.8;0.86;0.84;0.44;0.96;0.94;0.86;1.48;0.92;1.02;0.58;1.24;1.14;1.26;0.88;1.08;1.04;0.98;0.54;1.04;0.9;0.92;0.64;0.86;1.04;0.94;0.44;0.82;0.78;0.74;0.74;0.74;0.68;;
03,03,2024;Aspen;USA;Lower Ruthies Run;GLASSER-DAVIES Tristan;64;63;2685;2470;215;10:00;LIGHT SNOW;PACKED POWDER;-7;-5;1;SUI;MEILLARD Loic;no;03,03,2024Aspen1SUI;52.66;0.9;0.8;0.8;0.8;0.933;1.033;0.5;0.866;0.866;0.866;0.466;0.833;0.9;0.866;0.866;0.866;0.466;0.966;0.766;0.866;0.9;1;1.033;0.9;1;0.966;0.8;0.766;0.766;0.8;0.433;0.533;0.9;0.933;0.933;0.966;0.966;0.966;0.466;1;0.933;0.9;0.966;0.966;0.8;0.933;0.4;0.933;0.9;0.866;0.9;0.9;0.9;0.866;0.866;0.866;1.133;0.8;0.4;0.6;0.533;;;;;;;
03,03,2024;Aspen;USA;Lower Ruthies Run;JORIS Matteo;64;63;2685;2470;215;13:00;MOSTLY CLOUDY;PACKED POWDER;-3;-2;2;SUI;MEILLARD Loic;no;03,03,2024Aspen2SUI;50.07;0.9;0.833;0.866;0.833;0.9;0.933;0.433;0.933;0.9;0.933;0.433;0.9;0.9;0.833;0.9;0.833;0.5;0.9;0.733;0.8;0.833;0.833;0.933;0.9;0.9;0.866;0.633;0.733;0.566;0.666;0.4;0.5;0.766;0.8;0.933;0.933;0.966;0.9;0.466;1;0.933;1;0.866;0.9;0.8;0.833;0.433;1;0.933;0.9;0.766;0.766;0.766;0.833;0.833;0.766;1;0.733;0.333;0.566;0.533;;;;;;;
03,03,2024;Aspen;USA;Lower Ruthies Run;GLASSER-DAVIES Tristan;64;63;2685;2470;215;10:00;LIGHT SNOW;PACKED POWDER;-7;-5;1;FRA;NOEL Clement;yes;03,03,2024Aspen1FRA;52.39;0.966;0.766;0.866;0.733;0.933;0.966;0.533;0.9;0.9;0.766;0.433;0.833;0.833;0.9;0.9;0.9;0.533;1.1;0.8;0.866;1;0.833;0.966;0.833;1.1;1;0.8;0.7;0.7;0.766;0.433;0.566;0.6;1.1;0.966;0.933;0.933;0.966;0.5;1.066;0.966;0.9;0.933;0.833;0.833;0.966;0.433;0.966;0.833;0.866;0.766;0.933;0.833;0.9;0.833;0.866;1.1;0.8;0.433;0.6;0.533;;;;;;;
03,03,2024;Aspen;USA;Lower Ruthies Run;JORIS Matteo;64;63;2685;2470;215;13:00;MOSTLY CLOUDY;PACKED POWDER;-3;-2;2;GBR;TAYLOR Laurie;yes;03,03,2024Aspen2GBR;49.43;0.966;0.8;0.9;0.933;0.866;0.966;0.433;0.866;0.9;0.933;0.433;0.866;0.9;0.833;0.866;0.866;0.466;0.833;0.7;0.8;0.8;0.833;0.9;0.866;0.8;0.8;0.666;0.666;0.566;0.666;0.366;0.466;0.8;0.8;0.9;0.9;0.933;0.933;0.466;0.966;0.966;0.966;0.833;0.833;0.866;0.766;0.466;0.9;0.833;0.933;0.8;0.7;0.7;0.833;0.8;0.8;1;0.733;0.4;0.6;0.533;;;;;;;
11,02,2024;Bansko;Bulgaria;Tomba;COOPER Nick;65;64;1830;1610;220;10:30;RAIN;;;;1;SUI;MEILLARD Loic;no;11,02,2024Bansko1SUI;50.17;1;0.8;0.766;0.8;1.333;0.9;0.866;0.8;0.8;1.166;0.933;0.966;0.966;0.866;0.766;1.733;0.7;0.866;0.933;0.866;0.833;1.3;0.8;0.833;0.7;0.866;0.833;0.8;0.9;0.9;0.766;1.6;0.866;0.766;2.266;0.9;0.966;0.866;0.833;0.9;0.833;0.8;0.8;1.833;0.833;0.766;0.766;1.133;0.666;0.633;0.966;0.733;;;;;;;;;;;;;;;;
11,02,2024;Bansko;Bulgaria;Tomba;COOPER Nick;65;64;1830;1610;220;10:30;RAIN;;;;1;FRA;NOEL Clement;yes;11,02,2024Bansko1FRA;49.13;0.866;0.866;0.8;0.733;1.366;0.9;0.766;0.9;0.8;1.2;0.9;0.866;0.833;0.733;0.766;1.6;0.7;0.9;0.933;1;0.8;1.3;0.733;0.8;0.7;0.8;0.833;0.833;0.8;0.8;0.8;1.3;0.833;0.7;2.033;1.066;1;0.933;1;0.933;0.733;0.9;0.766;1.866;0.766;0.766;0.7;1.066;0.633;0.633;0.933;0.733;;;;;;;;;;;0.733;;;;;
