Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference;Discipline;Race (R) or Training (TR);Gate-Gate Distance (m);Turning Angle [°];Offset [m];Steepness [°];Slope change [°];Vertical Distance [m];Altitude (m);Latitude (°);Longitude (°);Gender
2024-01-07;Adelboden;1;1;0.88;STEEN OLSEN Alexander;0.9;ZENHAEUSERN Ramon;-0.020000000000000018;-2.2727272727272747;SL;R;8.8;12.04;0.84;-25.03;;;;;;M
2024-01-07;Adelboden;2;1;0.96;RASCHNER Dominik;0.96;MEILLARD Loic;0.0;0.0;SL;R;9.2;;;-18.1;;;1514.084;46.4786925;7.551727;M
2024-01-07;Adelboden;1;2;0.98;STEEN OLSEN Alexander;0.9;ZENHAEUSERN Ramon;0.07999999999999996;8.163265306122446;SL;R;9.17;34.34;2.6;-23.35;;;;;;M
2024-01-07;Adelboden;2;2;1.08;RASCHNER Dominik;1.06;MEILLARD Loic;0.020000000000000018;1.8518518518518534;SL;R;10.1;44.6;3.6;-24.8;-6.7;9.4;1511.195;46.4787249;7.5518319;M
2024-01-07;Adelboden;1;3;0.76;STEEN OLSEN Alexander;0.82;ZENHAEUSERN Ramon;-0.05999999999999994;-7.894736842105256;SL;R;10.2;41.45;3.3;-21.42;;;;;;M
2024-01-07;Adelboden;2;3;0.96;RASCHNER Dominik;0.94;MEILLARD Loic;0.020000000000000018;2.0833333333333353;SL;R;12.3;45.1;4.2;-25.7;-0.8;11.6;1506.928;46.4788037;7.5518694;M
2024-01-07;Adelboden;1;4;0.88;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;-0.040000000000000036;-4.545454545454549;SL;R;10.15;43.45;3.43;-22.1;;;;;;M
2024-01-07;Adelboden;2;4;0.98;RASCHNER Dominik;0.96;MEILLARD Loic;0.020000000000000018;2.040816326530614;SL;R;11.3;47.1;4.7;-18.0;7.6;10.3;1501.557;46.4788405;7.5520045;M
2024-01-07;Adelboden;1;5;0.44;STEEN OLSEN Alexander;0.5;ZENHAEUSERN Ramon;-0.06;-13.636363636363635;SL;R;9.82;24.72;1.57;-18.05;;;;;;M
2024-01-07;Adelboden;2;5;0.86;RASCHNER Dominik;1.0;MEILLARD Loic;-0.14;-16.27906976744186;SL;R;11.2;38.1;3.6;-23.8;-5.7;10.6;1498.038;46.4789327;7.552048;M
2024-01-07;Adelboden;1;6;0.88;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;-0.040000000000000036;-4.545454545454549;SL;R;6.61;22.78;1.47;-21.7;;;;;;M
2024-01-07;Adelboden;2;6;0.54;RASCHNER Dominik;0.52;MEILLARD Loic;0.020000000000000018;3.703703703703707;SL;R;10.4;42.8;3.9;-16.4;7.3;9.6;1493.484;46.4789812;7.5521627;M
2024-01-07;Adelboden;1;7;0.82;STEEN OLSEN Alexander;0.82;ZENHAEUSERN Ramon;0.0;0.0;SL;R;10.12;38.81;3.14;-17.91;;;;;;M
2024-01-07;Adelboden;2;7;1.0;RASCHNER Dominik;0.96;MEILLARD Loic;0.040000000000000036;4.0000000000000036;SL;R;6.9;46.8;3.2;-22.6;-6.2;6.0;1490.532;46.4790686;7.5521928;M
2024-01-07;Adelboden;1;8;0.84;STEEN OLSEN Alexander;0.86;ZENHAEUSERN Ramon;-0.020000000000000018;-2.380952380952383;SL;R;10.24;36.75;2.98;-22.21;;;;;;M
2024-01-07;Adelboden;2;8;1.04;RASCHNER Dominik;1.06;MEILLARD Loic;-0.020000000000000018;-1.9230769230769247;SL;R;9.8;28.8;2.0;-20.1;2.5;9.6;1487.863;46.4790948;7.5522668;M
2024-01-07;Adelboden;1;9;0.86;STEEN OLSEN Alexander;0.88;ZENHAEUSERN Ramon;-0.020000000000000018;-2.325581395348839;SL;R;9.91;44.9;3.58;-14.48;;;;;;M
2024-01-07;Adelboden;2;9;0.8;RASCHNER Dominik;0.78;MEILLARD Loic;0.020000000000000018;2.500000000000002;SL;R;12.6;33.4;3.1;-20.0;0.0;12.2;1484.468;46.4791655;7.5523307;M
2024-01-07;Adelboden;1;10;0.9;STEEN OLSEN Alexander;0.88;ZENHAEUSERN Ramon;0.020000000000000018;2.222222222222224;SL;R;9.86;42.98;3.44;-20.06;;;;;;M
2024-01-07;Adelboden;2;10;0.82;RASCHNER Dominik;0.78;MEILLARD Loic;0.039999999999999925;4.878048780487796;SL;R;10.8;31.5;3.1;-20.2;-0.1;10.3;1480.118;46.4792062;7.552474;M
2024-01-07;Adelboden;1;11;0.86;STEEN OLSEN Alexander;0.82;ZENHAEUSERN Ramon;0.040000000000000036;4.651162790697678;SL;R;10.15;42.61;3.53;-17.96;;;;;;M
2024-01-07;Adelboden;2;11;1.02;RASCHNER Dominik;1.04;MEILLARD Loic;-0.020000000000000018;-1.960784313725492;SL;R;9.9;26.1;2.3;-17.8;2.3;9.6;1476.38;46.4792819;7.552548;M
2024-01-07;Adelboden;1;12;0.46;STEEN OLSEN Alexander;0.48;ZENHAEUSERN Ramon;-0.019999999999999962;-4.3478260869565135;SL;R;10.39;23.76;1.55;-17.77;;;;;;M
2024-01-07;Adelboden;2;12;1.04;RASCHNER Dominik;1.06;MEILLARD Loic;-0.020000000000000018;-1.9230769230769247;SL;R;11.5;34.3;3.1;-11.2;6.5;11.1;1473.343;46.4793223;7.552656;M
2024-01-07;Adelboden;1;13;0.92;STEEN OLSEN Alexander;0.94;ZENHAEUSERN Ramon;-0.019999999999999907;-2.1739130434782505;SL;R;6.27;17.97;1.14;-12.06;;;;;;M
2024-01-07;Adelboden;2;13;0.92;RASCHNER Dominik;0.96;MEILLARD Loic;-0.039999999999999925;-4.3478260869565135;SL;R;10.8;55.4;5.2;-18.9;-7.6;9.4;1471.088;46.4794133;7.5527222;M
2024-01-07;Adelboden;1;14;0.9;STEEN OLSEN Alexander;0.9;ZENHAEUSERN Ramon;0.0;0.0;SL;R;9.52;33.36;2.72;-17.98;;;;;;M
2024-01-07;Adelboden;2;14;0.86;RASCHNER Dominik;0.9;MEILLARD Loic;-0.040000000000000036;-4.651162790697678;SL;R;10.8;48.8;4.4;-19.1;-0.2;9.8;1467.57;46.4794232;7.5528548;M
2024-01-07;Adelboden;1;15;0.88;STEEN OLSEN Alexander;0.84;ZENHAEUSERN Ramon;0.040000000000000036;4.545454545454549;SL;R;10.69;44.27;3.74;-19.14;;;;;;M
2024-01-07;Adelboden;2;15;0.92;RASCHNER Dominik;0.92;MEILLARD Loic;0.0;0.0;SL;R;10.6;33.5;3.0;-18.5;0.5;10.2;1464.023;46.4795011;7.5529252;M
2024-01-07;Adelboden;1;16;1.0;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;0.07999999999999996;7.9999999999999964;SL;R;10.42;46.96;3.98;-18.02;;;;;;M
2024-01-07;Adelboden;2;16;1.0;RASCHNER Dominik;0.96;MEILLARD Loic;0.040000000000000036;4.0000000000000036;SL;R;11.1;31.2;2.9;-16.0;2.5;10.7;1460.624;46.479536;7.5530469;M
2024-01-07;Adelboden;1;17;1.02;STEEN OLSEN Alexander;1.06;ZENHAEUSERN Ramon;-0.040000000000000036;-3.921568627450984;SL;R;10.62;44.95;3.87;-16.52;;;;;;M
2024-01-07;Adelboden;2;17;0.92;RASCHNER Dominik;0.98;MEILLARD Loic;-0.05999999999999994;-6.521739130434775;SL;R;11.4;31.6;3.0;-23.0;-7.0;10.9;1457.561;46.4796148;7.5531263;M
2024-01-07;Adelboden;1;18;1.0;STEEN OLSEN Alexander;0.98;ZENHAEUSERN Ramon;0.020000000000000018;2.0000000000000018;SL;R;10.53;47.47;3.88;-15.4;;;;;;M
2024-01-07;Adelboden;2;18;0.38;RASCHNER Dominik;0.5;MEILLARD Loic;-0.12;-31.57894736842105;SL;R;10.3;34.8;3.2;-25.9;-2.8;9.8;1453.092;46.4796506;7.5532527;M
2024-01-07;Adelboden;1;19;1.0;STEEN OLSEN Alexander;0.98;ZENHAEUSERN Ramon;0.020000000000000018;2.0000000000000018;SL;R;9.84;56.49;4.24;-19.58;;;;;;M
2024-01-07;Adelboden;2;19;0.94;RASCHNER Dominik;0.94;MEILLARD Loic;0.0;0.0;SL;R;6.5;24.0;1.6;-26.9;-1.0;6.2;1448.546;46.4797238;7.5533125;M
2024-01-07;Adelboden;1;20;0.96;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;0.039999999999999925;4.166666666666659;SL;R;9.88;51.83;3.83;-25.3;;;;;;M
2024-01-07;Adelboden;2;20;0.9;RASCHNER Dominik;0.92;MEILLARD Loic;-0.020000000000000018;-2.222222222222224;SL;R;10.7;22.3;1.5;-21.6;5.2;10.6;1445.598;46.4797527;7.5533753;M
2024-01-07;Adelboden;1;21;0.54;STEEN OLSEN Alexander;0.52;ZENHAEUSERN Ramon;0.020000000000000018;3.703703703703707;SL;R;9.62;28.03;1.74;-21.81;;;;;;M
2024-01-07;Adelboden;2;21;0.92;RASCHNER Dominik;0.96;MEILLARD Loic;-0.039999999999999925;-4.3478260869565135;SL;R;11.6;22.3;2.1;-16.7;4.9;11.4;1441.612;46.4798288;7.5534453;M
2024-01-07;Adelboden;1;22;1.02;STEEN OLSEN Alexander;1.0;ZENHAEUSERN Ramon;0.020000000000000018;1.960784313725492;SL;R;6.51;36.74;2.37;-19.15;;;;;;M
2024-01-07;Adelboden;2;22;0.4;RASCHNER Dominik;0.4;MEILLARD Loic;0.0;0.0;SL;R;12.7;38.9;4.0;-19.7;-3.0;12.0;1438.256;46.4798858;7.5535653;M
2024-01-07;Adelboden;1;23;0.76;STEEN OLSEN Alexander;0.8;ZENHAEUSERN Ramon;-0.040000000000000036;-5.263157894736847;SL;R;10.38;28.97;2.36;-16.27;;;;;;M
2024-01-07;Adelboden;2;23;0.4;RASCHNER Dominik;0.4;MEILLARD Loic;0.0;0.0;SL;R;6.3;16.5;1.2;-18.6;1.1;6.2;1433.956;46.4799903;7.5536045;M
2024-01-07;Adelboden;1;24;0.86;STEEN OLSEN Alexander;0.8;ZENHAEUSERN Ramon;0.05999999999999994;6.9767441860465045;SL;R;9.53;44.56;2.2;-18.13;;;;;;M
