Date;Discipline;Venue;Race (R) or Training (TR);Gate;Gate-Gate Distance (m);Turning Angle [°];Offset [m];Steepness [°];Slope change [°];Vertical Distance [m];Altitude (m);Latitude (°);Longitude (°);Gender;Run;Country;Course name;Course setter;Gates (#);Turning Gates (#);Start Altitude (m);Finish Altitude (m);Vertical Drop (m);Start time;Weather;Snow;Temp Start (°C);Temp Finish (°C);Nation;Best;Is Fastest?;ID;total time (sec);Time (ms)
2023-10-13;GS;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;GS;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
2023-10-18;SL;Diavolezza;TR;;;;;;;;;;;M;1.0;;;;;;;;;;;;;;;;;;;
