Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference
2024-01-07;Adelboden;1;1;0.88;STEEN OLSEN Alexander;0.9;ZENHAEUSERN Ramon;-0.020000000000000018;-2.2727272727272747
2024-01-07;Adelboden;2;1;0.96;RASCHNER Dominik;0.96;MEILLARD Loic;0.0;0.0
2024-01-07;Adelboden;1;2;0.98;STEEN OLSEN Alexander;0.9;ZENHAEUSERN Ramon;0.07999999999999996;8.163265306122446
2024-01-07;Adelboden;2;2;1.08;RASCHNER Dominik;1.06;MEILLARD Loic;0.020000000000000018;1.8518518518518534
2024-01-07;Adelboden;1;3;0.76;STEEN OLSEN Alexander;0.82;ZENHAEUSERN Ramon;-0.05999999999999994;-7.894736842105256
2024-01-07;Adelboden;2;3;0.96;RASCHNER Dominik;0.94;MEILLARD Loic;0.020000000000000018;2.0833333333333353
2024-01-07;Adelboden;1;4;0.88;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;-0.040000000000000036;-4.545454545454549
2024-01-07;Adelboden;2;4;0.98;RASCHNER Dominik;0.96;MEILLARD Loic;0.020000000000000018;2.040816326530614
2024-01-07;Adelboden;1;5;0.44;STEEN OLSEN Alexander;0.5;ZENHAEUSERN Ramon;-0.06;-13.636363636363635
2024-01-07;Adelboden;2;5;0.86;RASCHNER Dominik;1.0;MEILLARD Loic;-0.14;-16.27906976744186
2024-01-07;Adelboden;1;6;0.88;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;-0.040000000000000036;-4.545454545454549
2024-01-07;Adelboden;2;6;0.54;RASCHNER Dominik;0.52;MEILLARD Loic;0.020000000000000018;3.703703703703707
2024-01-07;Adelboden;1;7;0.82;STEEN OLSEN Alexander;0.82;ZENHAEUSERN Ramon;0.0;0.0
2024-01-07;Adelboden;2;7;1.0;RASCHNER Dominik;0.96;MEILLARD Loic;0.040000000000000036;4.0000000000000036
2024-01-07;Adelboden;1;8;0.84;STEEN OLSEN Alexander;0.86;ZENHAEUSERN Ramon;-0.020000000000000018;-2.380952380952383
2024-01-07;Adelboden;2;8;1.04;RASCHNER Dominik;1.06;MEILLARD Loic;-0.020000000000000018;-1.9230769230769247
2024-01-07;Adelboden;1;9;0.86;STEEN OLSEN Alexander;0.88;ZENHAEUSERN Ramon;-0.020000000000000018;-2.325581395348839
2024-01-07;Adelboden;2;9;0.8;RASCHNER Dominik;0.78;MEILLARD Loic;0.020000000000000018;2.500000000000002
2024-01-07;Adelboden;1;10;0.9;STEEN OLSEN Alexander;0.88;ZENHAEUSERN Ramon;0.020000000000000018;2.222222222222224
2024-01-07;Adelboden;2;10;0.82;RASCHNER Dominik;0.78;MEILLARD Loic;0.039999999999999925;4.878048780487796
2024-01-07;Adelboden;1;11;0.86;STEEN OLSEN Alexander;0.82;ZENHAEUSERN Ramon;0.040000000000000036;4.651162790697678
2024-01-07;Adelboden;2;11;1.02;RASCHNER Dominik;1.04;MEILLARD Loic;-0.020000000000000018;-1.960784313725492
2024-01-07;Adelboden;1;12;0.46;STEEN OLSEN Alexander;0.48;ZENHAEUSERN Ramon;-0.019999999999999962;-4.3478260869565135
2024-01-07;Adelboden;2;12;1.04;RASCHNER Dominik;1.06;MEILLARD Loic;-0.020000000000000018;-1.9230769230769247
2024-01-07;Adelboden;1;13;0.92;STEEN OLSEN Alexander;0.94;ZENHAEUSERN Ramon;-0.019999999999999907;-2.1739130434782505
2024-01-07;Adelboden;2;13;0.92;RASCHNER Dominik;0.96;MEILLARD Loic;-0.039999999999999925;-4.3478260869565135
2024-01-07;Adelboden;1;14;0.9;STEEN OLSEN Alexander;0.9;ZENHAEUSERN Ramon;0.0;0.0
2024-01-07;Adelboden;2;14;0.86;RASCHNER Dominik;0.9;MEILLARD Loic;-0.040000000000000036;-4.651162790697678
2024-01-07;Adelboden;1;15;0.88;STEEN OLSEN Alexander;0.84;ZENHAEUSERN Ramon;0.040000000000000036;4.545454545454549
2024-01-07;Adelboden;2;15;0.92;RASCHNER Dominik;0.92;MEILLARD Loic;0.0;0.0
2024-01-07;Adelboden;1;16;1.0;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;0.07999999999999996;7.9999999999999964
2024-01-07;Adelboden;2;16;1.0;RASCHNER Dominik;0.96;MEILLARD Loic;0.040000000000000036;4.0000000000000036
2024-01-07;Adelboden;1;17;1.02;STEEN OLSEN Alexander;1.06;ZENHAEUSERN Ramon;-0.040000000000000036;-3.921568627450984
2024-01-07;Adelboden;2;17;0.92;RASCHNER Dominik;0.98;MEILLARD Loic;-0.05999999999999994;-6.521739130434775
2024-01-07;Adelboden;1;18;1.0;STEEN OLSEN Alexander;0.98;ZENHAEUSERN Ramon;0.020000000000000018;2.0000000000000018
2024-01-07;Adelboden;2;18;0.38;RASCHNER Dominik;0.5;MEILLARD Loic;-0.12;-31.57894736842105
2024-01-07;Adelboden;1;19;1.0;STEEN OLSEN Alexander;0.98;ZENHAEUSERN Ramon;0.020000000000000018;2.0000000000000018
2024-01-07;Adelboden;2;19;0.94;RASCHNER Dominik;0.94;MEILLARD Loic;0.0;0.0
2024-01-07;Adelboden;1;20;0.96;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;0.039999999999999925;4.166666666666659
2024-01-07;Adelboden;2;20;0.9;RASCHNER Dominik;0.92;MEILLARD Loic;-0.020000000000000018;-2.222222222222224
2024-01-07;Adelboden;1;21;0.54;STEEN OLSEN Alexander;0.52;ZENHAEUSERN Ramon;0.020000000000000018;3.703703703703707
2024-01-07;Adelboden;2;21;0.92;RASCHNER Dominik;0.96;MEILLARD Loic;-0.039999999999999925;-4.3478260869565135
2024-01-07;Adelboden;1;22;1.02;STEEN OLSEN Alexander;1.0;ZENHAEUSERN Ramon;0.020000000000000018;1.960784313725492
2024-01-07;Adelboden;2;22;0.4;RASCHNER Dominik;0.4;MEILLARD Loic;0.0;0.0
2024-01-07;Adelboden;1;23;0.76;STEEN OLSEN Alexander;0.8;ZENHAEUSERN Ramon;-0.040000000000000036;-5.263157894736847
2024-01-07;Adelboden;2;23;0.4;RASCHNER Dominik;0.4;MEILLARD Loic;0.0;0.0
2024-01-07;Adelboden;1;24;0.86;STEEN OLSEN Alexander;0.8;ZENHAEUSERN Ramon;0.05999999999999994;6.9767441860465045
2024-01-07;Adelboden;2;24;0.72;RASCHNER Dominik;0.7;MEILLARD Loic;0.020000000000000018;2.7777777777777803
2024-01-07;Adelboden;1;25;1.08;STEEN OLSEN Alexander;1.02;ZENHAEUSERN Ramon;0.06000000000000005;5.55555555555556
2024-01-07;Adelboden;2;25;0.72;RASCHNER Dominik;0.74;MEILLARD Loic;-0.020000000000000018;-2.7777777777777803
2024-01-07;Adelboden;1;26;0.76;STEEN OLSEN Alexander;0.72;ZENHAEUSERN Ramon;0.040000000000000036;5.263157894736847
2024-01-07;Adelboden;2;26;0.74;RASCHNER Dominik;0.74;MEILLARD Loic;0.0;0.0
2024-01-07;Adelboden;1;27;0.7;STEEN OLSEN Alexander;0.72;ZENHAEUSERN Ramon;-0.020000000000000018;-2.85714285714286
2024-01-07;Adelboden;2;27;0.8;RASCHNER Dominik;0.8;MEILLARD Loic;0.0;0.0
2024-01-07;Adelboden;1;28;0.4;STEEN OLSEN Alexander;0.42;ZENHAEUSERN Ramon;-0.019999999999999962;-4.99999999999999
2024-01-07;Adelboden;2;28;0.68;RASCHNER Dominik;0.68;MEILLARD Loic;0.0;0.0
2024-01-07;Adelboden;1;29;0.44;STEEN OLSEN Alexander;0.46;ZENHAEUSERN Ramon;-0.020000000000000018;-4.545454545454549
